tld,potential_uses
tokyo,"japan,city,asia,olympics,travel,culture,metropolis"
tools,"equipment,software,utility,hardware,repair,build,instruments"
top,"best,leader,ranking,summit,highest,quality,premium,short"
tours,"travel,guide,sightseeing,vacation,trips,excursions,adventure"
town,"city,local,community,municipal,village,small,public"
toys,"kids,play,games,children,fun,dolls,actionfigures"
trade,"commerce,business,exchange,stocks,import,export,market"
trading,"finance,stocks,forex,crypto,invest,market,exchange"
training,"education,courses,skills,learning,coaching,development,exercise"
travel,"vacation,journey,trip,tourism,holiday,adventure,explore"
tube,"video,london,pipe,cylinder,metro,channel,media,short"
tv,"television,broadcast,media,show,entertainment,streaming,channel,short"
u2,"band,music,rock,irish,bono,short"
uk,"unitedkingdom,britain,england,gb,london,europe,short,country"
uk.com,"uk,unitedkingdom,commerce,business,britain,market,country"
uk.net,"uk,unitedkingdom,network,tech,internet,britain,country"
university,"college,education,academic,degree,study,campus,learning"
uno,"one,single,game,cardgame,spanish,italian,first,short"
us,"usa,america,unitedstates,states,washington,starsandstripes,short,country"
us.com,"usa,america,commerce,business,unitedstates,market,country"
us.org,"usa,america,organization,nonprofit,unitedstates,charity,country"
vacations,"travel,holiday,trips,resorts,tourism,leisure,getaway"
vana,"nirvana,wellness,spiritual,brand,short,peace,calm"
vc,"venturecapital,stvincent,grenadines,video,conference,short,country"
vegas,"lasvegas,casino,gambling,nevada,entertainment,shows,nightlife"
ventures,"startup,business,investment,adventure,projects,capital,new"
vet,"veterinarian,animals,pets,military,doctor,care,health,short"
viajes,"travel,spanish,journeys,trips,tours,vacation,booking"
video,"film,media,streaming,movie,youtube,online,visual"
villas,"housing,luxury,rentals,property,vacation,realestate,homes"
vin,"wine,french,grapes,vineyard,drink,alcohol,sommelier,short"
vip,"exclusive,luxury,important,person,premium,elite,status,short"
vision,"eyes,sight,future,optical,mission,goals,plan"
vodka,"alcohol,spirits,drinks,bar,cocktail,russian,liquor"
voice,"audio,sound,singing,speech,communication,voip,podcast"
vote,"election,politics,ballot,democracy,civic,choice,campaign,short"
voting,"election,ballot,democracy,poll,civic,choice,participation"
voto,"vote,spanish,italian,portuguese,election,ballot,choice"
voyage,"travel,journey,trip,sea,adventure,exploration,cruise"
w3n,"web3,crypto,blockchain,decentralized,nft,metaverse,dapp"
wales,"uk,cymru,britain,cardiff,welsh,culture,principality,country"
watch,"timepiece,tv,stream,observe,view,clock,smartwatch"
webcam,"camera,live,video,stream,online,chat,security"
website,"site,web,online,internet,domain,page,presence"
wedding,"marriage,bride,groom,ceremony,party,love,nuptials"
wiki,"information,knowledge,collaborative,encyclopedia,database,community,facts"
win,"victory,success,prize,contest,lottery,award,achieve,short"
wine,"drink,grapes,vineyard,alcohol,red,white,sommelier"
work,"jobs,employment,career,business,office,labor,project"
works,"projects,creations,art,portfolio,company,functions,operates"
world,"global,earth,international,planet,community,map,news"
ws,"samoa,website,web,global,online,short,country"
wtf,"funny,shock,surprise,humor,question,slang,expression,short"
xg,"nextgen,tech,extreme,generation,brand,short,future"
xq,"unique,quality,brand,short,creative,special,modern"
xyz,"generic,general,abc,modern,tech,startup,global"
yachts,"boats,luxury,marine,sailing,ocean,charter,vessels"
yoga,"fitness,health,meditation,exercise,stretch,wellness,studio"
za.com,"southafrica,commerce,business,africa,johannesburg,capetown,country"
zip,"fast,file,code,postal,quick,compress,speedy,short"
zone,"area,region,sector,district,space,territory,community"
